,year_month,estimated_volume
0,2024-06-01,10878.89121338912
1,2024-07-01,78569.76987447699
2,2024-08-01,95492.48953974895
3,2024-09-01,95492.48953974895
4,2024-10-01,152304.4769874477
5,2024-11-01,151095.71129707113
6,2024-12-01,195820.04184100416
7,2025-01-01,170435.9623430962
8,2025-02-01,149886.94560669456
9,2025-03-01,194611.27615062761
10,2025-04-01,212742.76150627615
11,2025-05-01,288895.0
12,2025-06-01,429111.82008368196
